prompt_name,task,word_count,ell_clean,holistic_essay_score,p_ai_oof_score
Car-free cities,Text dependent,495,No,4,0.0055907108293152714
Car-free cities,Text dependent,434,No,3,0.419448495008634
Car-free cities,Text dependent,300,Yes,2,0.438654151832635
Car-free cities,Text dependent,2189,No,3,0.049625872650607084
Car-free cities,Text dependent,391,No,3,0.32604247421017374
Car-free cities,Text dependent,364,No,4,0.032721182900215584
Car-free cities,Text dependent,466,No,3,0.43343491138841317
Car-free cities,Text dependent,263,No,1,0.008192890106594915
Car-free cities,Text dependent,581,No,4,0.03100255127658013
Car-free cities,Text dependent,733,No,5,0.10389730345861357
Car-free cities,Text dependent,397,No,3,0.02107409563799053
Car-free cities,Text dependent,223,No,2,0.22928612771127205
Car-free cities,Text dependent,294,Yes,2,0.0016540872591208613
Car-free cities,Text dependent,797,No,5,0.1946214216547268
Car-free cities,Text dependent,358,No,4,0.3980456456381919
Car-free cities,Text dependent,274,No,2,0.1806756583064724
Car-free cities,Text dependent,517,No,4,0.008150261978933796
Car-free cities,Text dependent,439,No,4,0.5637150341496161
Car-free cities,Text dependent,485,No,3,0.0037291859010697643
Car-free cities,Text dependent,399,No,2,0.24166845535401454
Car-free cities,Text dependent,880,No,4,0.035789593933268166
Car-free cities,Text dependent,458,No,3,0.6967782295438375
Car-free cities,Text dependent,513,No,4,0.014809720073307317
Car-free cities,Text dependent,294,No,3,0.1138215116484615
Car-free cities,Text dependent,610,No,4,0.00033052212693624844
Car-free cities,Text dependent,544,No,5,0.8908844993593994
Car-free cities,Text dependent,471,No,4,0.163618821258539
Car-free cities,Text dependent,535,No,5,0.02400834636876015
Car-free cities,Text dependent,388,No,4,0.09217695525615592
Car-free cities,Text dependent,509,No,5,0.04524231609298309
Car-free cities,Text dependent,329,No,3,0.19507620505582188
Car-free cities,Text dependent,460,No,3,0.7175946713654268
Car-free cities,Text dependent,448,No,4,0.056740127441035904
Car-free cities,Text dependent,590,No,4,0.01482950503315413
Car-free cities,Text dependent,476,No,2,0.28384315649479924
Car-free cities,Text dependent,455,No,4,0.0784009018870095
Car-free cities,Text dependent,521,No,3,0.1951009887506365
Car-free cities,Text dependent,431,No,4,0.015877113299879602
Car-free cities,Text dependent,476,No,3,0.00017471018822749477
Car-free cities,Text dependent,358,No,3,0.11695543045699132
Car-free cities,Text dependent,866,No,4,0.22321783083668806
Car-free cities,Text dependent,174,No,1,0.3985021080937242
Car-free cities,Text dependent,350,No,3,0.0024132386817807155
Car-free cities,Text dependent,494,No,4,0.04527296908525344
Car-free cities,Text dependent,621,No,4,0.026485354815400097
Car-free cities,Text dependent,553,No,4,0.03327549466816359
Car-free cities,Text dependent,536,No,3,0.04147110200301999
Car-free cities,Text dependent,165,No,1,0.009986830733576974
Car-free cities,Text dependent,357,No,3,0.5816390909225195
Car-free cities,Text dependent,529,No,5,0.293625883601504
Car-free cities,Text dependent,445,No,3,0.0031619714575458276
Car-free cities,Text dependent,310,No,2,0.9584500868259184
Car-free cities,Text dependent,684,No,3,0.5957402937466771
Car-free cities,Text dependent,721,No,4,0.025921556855778318
Car-free cities,Text dependent,449,No,3,0.005181080670217568
Car-free cities,Text dependent,490,No,3,0.1629935338962132
Car-free cities,Text dependent,503,No,5,0.5518158942366295
Car-free cities,Text dependent,465,No,3,0.5577210622152147
Car-free cities,Text dependent,609,No,3,0.04798036170229494
Car-free cities,Text dependent,283,No,2,0.18457193372594197
Car-free cities,Text dependent,621,No,4,0.001271718465501823
Car-free cities,Text dependent,182,No,2,0.6005487228348136
Car-free cities,Text dependent,489,No,3,0.16549701771129402
Car-free cities,Text dependent,511,No,3,0.0035860120590077496
Car-free cities,Text dependent,266,No,2,0.017658073913904653
Car-free cities,Text dependent,370,No,3,0.2505093612280513
Car-free cities,Text dependent,374,No,3,0.6121540846435519
Car-free cities,Text dependent,526,No,5,0.6792104984658878
Car-free cities,Text dependent,171,No,2,0.11653937646374846
Car-free cities,Text dependent,240,Yes,1,0.3528749386590901
Car-free cities,Text dependent,378,No,2,0.26406739613015495
Car-free cities,Text dependent,348,No,3,0.6002195575230392
Car-free cities,Text dependent,499,No,3,0.04995774169488086
Car-free cities,Text dependent,177,No,1,0.6840169997236814
Car-free cities,Text dependent,389,No,3,0.5221681838954413
Car-free cities,Text dependent,408,No,3,0.16454241709961018
Car-free cities,Text dependent,231,No,2,0.006715588091804844
Car-free cities,Text dependent,429,No,2,0.2063411111271211
Car-free cities,Text dependent,621,No,3,0.03399837021948372
Car-free cities,Text dependent,660,No,5,0.1611346188098263
Car-free cities,Text dependent,462,No,4,0.061647963681765464
Car-free cities,Text dependent,296,No,3,0.8190858528361002
Car-free cities,Text dependent,660,No,5,0.05697531029210035
Car-free cities,Text dependent,390,No,3,0.049868267296279474
Car-free cities,Text dependent,668,No,4,0.011627888638965522
Car-free cities,Text dependent,287,No,3,0.07913359570454705
Car-free cities,Text dependent,547,No,4,0.45785250114467974
Car-free cities,Text dependent,438,No,4,0.6615214820334769
Car-free cities,Text dependent,314,No,1,0.22879464507438035
Car-free cities,Text dependent,388,No,4,0.0017339239850783542
Car-free cities,Text dependent,425,No,3,0.4333580081154189
Car-free cities,Text dependent,530,No,5,0.02257303609974392
Car-free cities,Text dependent,397,Yes,2,0.0012992512547921806
Car-free cities,Text dependent,792,No,4,0.036354696179324804
Car-free cities,Text dependent,304,No,1,0.8281810597627789
Car-free cities,Text dependent,1133,No,4,0.21968657701343355
Car-free cities,Text dependent,469,No,4,0.0826197799566488
Car-free cities,Text dependent,439,No,4,0.017950793955046902
Car-free cities,Text dependent,291,No,2,0.09915550840741474
Car-free cities,Text dependent,313,No,2,0.8375132119406875
Car-free cities,Text dependent,411,No,3,0.05368238630008129
Car-free cities,Text dependent,174,No,2,0.9224942787929329
Car-free cities,Text dependent,325,No,3,0.488700956079278
Car-free cities,Text dependent,303,No,3,0.20901251845227298
Car-free cities,Text dependent,691,No,4,0.09151432451424153
Car-free cities,Text dependent,394,No,4,0.6459889566359096
Car-free cities,Text dependent,595,No,2,0.02855128721279313
Car-free cities,Text dependent,516,No,4,0.04900307000695947
Car-free cities,Text dependent,801,No,5,0.016195168816094355
Car-free cities,Text dependent,422,No,2,0.0347406284787842
Car-free cities,Text dependent,270,No,3,0.7908652082533734
Car-free cities,Text dependent,377,No,4,0.025183983097873206
Car-free cities,Text dependent,548,No,3,0.04704716117149023
Car-free cities,Text dependent,707,No,3,0.036116029419023206
Car-free cities,Text dependent,250,No,1,3.465512112894692e-05
Car-free cities,Text dependent,324,No,4,0.7664905751683965
Car-free cities,Text dependent,426,No,4,0.015965675773104513
Car-free cities,Text dependent,254,No,3,0.7580988640140888
Car-free cities,Text dependent,690,No,4,0.021473156730068596
Car-free cities,Text dependent,412,No,2,0.8688764487119288
Car-free cities,Text dependent,755,No,5,0.025092088672307222
Car-free cities,Text dependent,680,No,4,0.22328930057430224
Car-free cities,Text dependent,382,Yes,3,0.031398155500359244
Car-free cities,Text dependent,546,No,4,0.2955130664218395
Car-free cities,Text dependent,218,No,1,0.6801954935343308
Car-free cities,Text dependent,472,No,2,0.04251286054461109
Car-free cities,Text dependent,674,No,4,0.00014222137169202464
Car-free cities,Text dependent,517,No,2,0.03306626808549724
Car-free cities,Text dependent,639,No,1,0.25568695104378164
Car-free cities,Text dependent,368,No,3,0.5189422371030112
Car-free cities,Text dependent,737,No,4,0.0067732790812248655
Car-free cities,Text dependent,281,No,3,0.3698590903533238
Car-free cities,Text dependent,501,No,4,0.17770299745175838
Car-free cities,Text dependent,714,No,2,0.13609878035987877
Car-free cities,Text dependent,521,No,5,0.7239885866329809
Car-free cities,Text dependent,406,No,1,0.5852344454284426
Car-free cities,Text dependent,708,No,3,0.11289634030088061
Car-free cities,Text dependent,743,No,2,0.04778904927859369
Car-free cities,Text dependent,769,No,5,0.015275713784451191
Car-free cities,Text dependent,743,No,5,0.6527601919860244
Car-free cities,Text dependent,377,No,2,0.23153244794381073
Car-free cities,Text dependent,463,No,4,0.07242375861254931
Car-free cities,Text dependent,565,No,4,0.10893899876542149
Car-free cities,Text dependent,280,No,3,0.09744411066258321
Car-free cities,Text dependent,352,No,3,0.6640462232408263
Car-free cities,Text dependent,282,No,3,0.3859699254573507
Car-free cities,Text dependent,300,No,2,0.5159460702412083
Car-free cities,Text dependent,821,No,5,0.008227278235438383
Car-free cities,Text dependent,660,No,4,0.11243434364076067
Car-free cities,Text dependent,510,No,4,0.024844078263567552
Car-free cities,Text dependent,316,No,3,0.1770201998386701
Car-free cities,Text dependent,589,No,3,0.012277161384498716
Car-free cities,Text dependent,786,No,5,0.0734815888855037
Car-free cities,Text dependent,249,No,2,0.014507617313995188
Car-free cities,Text dependent,481,No,3,0.08073980933577578
Car-free cities,Text dependent,472,No,3,0.007059600336414767
Car-free cities,Text dependent,1228,No,3,0.002752057714237246
Car-free cities,Text dependent,329,No,2,0.0766582861712091
Car-free cities,Text dependent,413,No,2,0.10432403021932626
Car-free cities,Text dependent,585,No,4,0.03356412101157047
Car-free cities,Text dependent,462,No,3,0.013430655843134392
Car-free cities,Text dependent,351,No,4,0.987804578089649
Car-free cities,Text dependent,297,No,3,0.3453589902228286
Car-free cities,Text dependent,212,No,1,0.0024542089914201945
Car-free cities,Text dependent,627,No,3,0.007767756503318566
Car-free cities,Text dependent,300,No,4,0.9083933628300055
Car-free cities,Text dependent,451,No,4,0.028851825524052976
Car-free cities,Text dependent,371,No,1,0.00028446688701056795
Car-free cities,Text dependent,548,No,3,0.1438530213365063
Car-free cities,Text dependent,453,No,4,0.32923234914440047
Car-free cities,Text dependent,467,No,3,0.6793507747560212
Car-free cities,Text dependent,417,No,4,0.021681146322999903
Car-free cities,Text dependent,579,No,2,0.05208066364456055
Car-free cities,Text dependent,342,No,2,0.02575643565572951
Car-free cities,Text dependent,322,No,3,0.44932028757985115
Car-free cities,Text dependent,262,No,2,0.42099191725556584
Car-free cities,Text dependent,255,No,1,0.0006292567086928429
Car-free cities,Text dependent,367,No,3,0.10496801989542799
Car-free cities,Text dependent,864,No,5,0.039531448568992406
Car-free cities,Text dependent,396,No,4,0.6503343021985837
Car-free cities,Text dependent,821,No,4,0.10152602184011614
Car-free cities,Text dependent,467,No,3,0.0789373337813327
Car-free cities,Text dependent,512,No,4,0.17298748703220168
Car-free cities,Text dependent,761,No,3,0.04817161383595132
Car-free cities,Text dependent,689,No,5,0.00047983765654469664
Car-free cities,Text dependent,209,No,2,0.3581727655418879
Car-free cities,Text dependent,286,No,2,0.445978803482747
Car-free cities,Text dependent,511,No,4,0.007114729761000275
Car-free cities,Text dependent,523,No,3,0.8389071189926912
Car-free cities,Text dependent,425,No,4,0.36315773380379757
Car-free cities,Text dependent,478,No,4,0.004202150305522595
Car-free cities,Text dependent,428,No,3,0.3048775005356867
Car-free cities,Text dependent,156,No,2,0.2900416816844446
Car-free cities,Text dependent,429,Yes,3,0.11346792665415797
Car-free cities,Text dependent,721,Yes,4,0.0003028346606240889
Car-free cities,Text dependent,185,No,2,0.10637201278534865
Car-free cities,Text dependent,328,No,3,0.133314251748488
Car-free cities,Text dependent,472,No,4,0.009349719406201839
Car-free cities,Text dependent,400,No,3,0.1279948481929138
Car-free cities,Text dependent,622,No,4,0.004975816812334263
Car-free cities,Text dependent,251,No,3,0.034624369046467623
Car-free cities,Text dependent,216,Yes,2,0.8347410319351523
Car-free cities,Text dependent,561,Yes,4,0.0003206631056190654
Car-free cities,Text dependent,334,No,3,0.8507704046295507
Car-free cities,Text dependent,455,No,3,0.018959586375067283
Car-free cities,Text dependent,696,No,3,0.2251275842203653
Car-free cities,Text dependent,400,No,2,0.06577917845243972
Car-free cities,Text dependent,224,No,2,0.1465039388149859
Car-free cities,Text dependent,558,No,3,0.0413293249329034
Car-free cities,Text dependent,261,No,2,0.035399999139960905
Car-free cities,Text dependent,492,No,3,0.005369525048467544
Car-free cities,Text dependent,445,No,2,0.029302342522277564
Car-free cities,Text dependent,275,No,2,0.11333277982225062
Car-free cities,Text dependent,377,No,4,0.37069233075318425
Car-free cities,Text dependent,316,No,2,0.9824114043815282
Car-free cities,Text dependent,229,No,2,0.20257845981221295
Car-free cities,Text dependent,470,No,4,0.042566338449310424
Car-free cities,Text dependent,484,No,3,0.2825467799585489
Car-free cities,Text dependent,528,No,3,0.34023936189377113
Car-free cities,Text dependent,454,No,3,0.03244114941883389
Car-free cities,Text dependent,579,No,2,0.21870724102837583
Car-free cities,Text dependent,430,No,3,0.0010352962235532094
Car-free cities,Text dependent,554,No,3,0.01141760536895646
Car-free cities,Text dependent,690,No,4,0.030172256697578958
Car-free cities,Text dependent,343,No,2,0.0031528552389031212
Car-free cities,Text dependent,306,No,2,0.05435589063106151
Car-free cities,Text dependent,255,No,3,0.10287030362634357
Car-free cities,Text dependent,234,No,3,0.971503000633435
Car-free cities,Text dependent,421,No,4,0.22229337847428282
Car-free cities,Text dependent,275,Yes,2,0.6308137674351905
Car-free cities,Text dependent,813,No,5,0.1882341073694723
Car-free cities,Text dependent,562,No,4,0.25127421246918313
Car-free cities,Text dependent,204,No,2,0.3129058515783021
Car-free cities,Text dependent,306,Yes,1,0.5021708414447998
Car-free cities,Text dependent,329,Yes,2,0.7738002716597165
Car-free cities,Text dependent,542,No,4,0.04689949885159173
Car-free cities,Text dependent,496,No,3,0.0890418367446708
Car-free cities,Text dependent,180,No,2,0.09927906398872785
Car-free cities,Text dependent,310,No,3,0.8088827266329688
Car-free cities,Text dependent,393,Yes,4,0.1627909772161473
Car-free cities,Text dependent,262,No,2,0.10914014691107268
Car-free cities,Text dependent,261,No,3,0.041104588461350566
Car-free cities,Text dependent,305,No,1,2.8588964844037504e-07
Car-free cities,Text dependent,402,No,3,0.7759554079007708
Car-free cities,Text dependent,368,No,3,0.029338314796617193
Car-free cities,Text dependent,328,No,3,0.04416764146838234
Car-free cities,Text dependent,462,No,3,0.4124393903999375
Car-free cities,Text dependent,176,No,2,0.9396243060006696
Car-free cities,Text dependent,417,No,4,0.23093192820222927
Car-free cities,Text dependent,603,No,1,0.03597796952321952
Car-free cities,Text dependent,368,No,2,0.5175427546853265
Car-free cities,Text dependent,458,No,3,0.9862483783463303
Car-free cities,Text dependent,354,No,3,0.035147254727920955
Car-free cities,Text dependent,240,No,3,0.4479286464704801
Car-free cities,Text dependent,251,No,2,0.923570995949827
Car-free cities,Text dependent,337,No,2,0.5129143934344915
Car-free cities,Text dependent,510,No,4,0.35168932534605746
Car-free cities,Text dependent,504,No,3,0.6360225213204814
Car-free cities,Text dependent,751,No,4,0.038850059895948974
Car-free cities,Text dependent,349,No,3,0.08177863194583553
Car-free cities,Text dependent,413,No,2,0.04235955906583074
Car-free cities,Text dependent,258,No,2,0.9632919330519106
Car-free cities,Text dependent,553,No,4,0.46971798587987257
Car-free cities,Text dependent,695,No,4,0.03155010822365315
Car-free cities,Text dependent,782,No,5,0.01767041962453375
Car-free cities,Text dependent,480,No,4,0.2451384016245395
Car-free cities,Text dependent,402,No,3,0.23520725450940727
Car-free cities,Text dependent,14714,No,2,2.0310031524435326e-24
Car-free cities,Text dependent,591,No,4,0.06159468923401124
Car-free cities,Text dependent,466,No,4,0.2698331198377943
Car-free cities,Text dependent,458,No,3,0.07607633590166306
Car-free cities,Text dependent,234,No,2,0.7499286749854299
Car-free cities,Text dependent,511,No,4,0.21889449873087868
Car-free cities,Text dependent,471,No,2,0.09572595740741321
Car-free cities,Text dependent,345,No,3,0.0841900506319763
Car-free cities,Text dependent,901,No,5,0.0013373486114176276
Car-free cities,Text dependent,529,No,2,0.5140863880673363
Car-free cities,Text dependent,236,No,3,0.2158400959014596
Car-free cities,Text dependent,616,No,4,0.017041786620301223
Car-free cities,Text dependent,282,No,3,0.32170336895879437
Car-free cities,Text dependent,439,No,3,0.25043123175298454
Car-free cities,Text dependent,214,No,2,0.027344017335229724
Car-free cities,Text dependent,318,No,2,0.13750457377818226
Car-free cities,Text dependent,620,No,4,0.6259169687069173
Car-free cities,Text dependent,709,No,3,0.006377778566338527
Car-free cities,Text dependent,358,Yes,1,0.07383225849428023
Car-free cities,Text dependent,608,No,5,0.0001781418015292266
Car-free cities,Text dependent,624,No,4,0.00111781886100998
Car-free cities,Text dependent,304,No,3,0.20013528375503237
Car-free cities,Text dependent,499,No,2,0.07658905906139504
Car-free cities,Text dependent,294,No,1,0.10951512124894919
Car-free cities,Text dependent,414,No,4,0.9983021755000101
Car-free cities,Text dependent,371,No,2,0.9860837085947892
Car-free cities,Text dependent,493,No,4,0.013358139944308565
Car-free cities,Text dependent,309,No,3,0.0070556272921973445
Car-free cities,Text dependent,332,No,3,0.014277519812238109
Car-free cities,Text dependent,617,No,3,0.2256408703819748
Car-free cities,Text dependent,581,No,4,0.02204659969180803
Car-free cities,Text dependent,253,No,2,0.1865398372401588
Car-free cities,Text dependent,460,No,2,0.1289115821466532
Car-free cities,Text dependent,862,No,4,0.017895189262556028
Car-free cities,Text dependent,535,No,4,0.011356204256335378
Car-free cities,Text dependent,486,No,3,0.3692138573041173
Car-free cities,Text dependent,503,No,4,0.2732596464905283
Car-free cities,Text dependent,574,No,3,0.0889303199916953
Car-free cities,Text dependent,516,No,4,0.06938101224063944
Car-free cities,Text dependent,186,Yes,1,0.03536875664745788
Car-free cities,Text dependent,399,No,3,0.05496851506614436
Car-free cities,Text dependent,872,No,5,0.09678003325991427
Car-free cities,Text dependent,640,No,3,0.14623368425006666
Car-free cities,Text dependent,791,No,4,0.005336836548024834
Car-free cities,Text dependent,206,No,1,0.6545468472634736
Car-free cities,Text dependent,524,No,3,0.14170412716745714
Car-free cities,Text dependent,369,No,3,0.12330520805934947
Car-free cities,Text dependent,285,No,2,0.061822700674251475
Car-free cities,Text dependent,571,No,3,0.09695426254562352
Car-free cities,Text dependent,404,No,3,0.1834595337151673
Car-free cities,Text dependent,469,No,3,0.25125137492557403
Car-free cities,Text dependent,281,No,3,0.4508416086232795
Car-free cities,Text dependent,814,No,3,0.17057605560448977
Car-free cities,Text dependent,261,No,2,0.0032502468109748897
Car-free cities,Text dependent,506,No,4,0.042716766214330126
Car-free cities,Text dependent,522,No,2,0.019708578940658292
Car-free cities,Text dependent,464,No,3,0.3547356155887585
Car-free cities,Text dependent,466,No,4,0.2789195246342112
Car-free cities,Text dependent,730,No,4,0.0018770474500650232
Car-free cities,Text dependent,488,No,4,0.012427666268274953
Car-free cities,Text dependent,299,No,2,0.25823007583425184
Car-free cities,Text dependent,664,No,2,0.02830878788542656
Car-free cities,Text dependent,541,No,2,0.5349309648634274
Car-free cities,Text dependent,387,No,4,0.0083461539949034
Car-free cities,Text dependent,737,No,4,0.1660139037406284
Car-free cities,Text dependent,519,No,4,0.06702412951477943
Car-free cities,Text dependent,201,No,2,0.024967209105635643
Car-free cities,Text dependent,386,No,1,0.5632723549439747
Car-free cities,Text dependent,698,No,5,0.009894059208263495
Car-free cities,Text dependent,484,No,3,0.22538379287763072
Car-free cities,Text dependent,589,No,5,0.036646634411055715
Car-free cities,Text dependent,664,No,3,0.3455437647975071
Car-free cities,Text dependent,494,No,4,0.04497846189005802
Car-free cities,Text dependent,549,No,3,0.06436241868622165
Car-free cities,Text dependent,536,No,3,0.22599294806441048
Car-free cities,Text dependent,278,No,1,0.06937986196687745
Car-free cities,Text dependent,658,No,5,0.004931225854108064
Car-free cities,Text dependent,431,No,1,0.9763191424103099
Car-free cities,Text dependent,829,No,2,0.1259078180684316
Car-free cities,Text dependent,390,No,3,0.3756451065170962
Car-free cities,Text dependent,467,No,3,0.004250269813588121
Car-free cities,Text dependent,157,No,2,0.045798264152548736
Car-free cities,Text dependent,379,No,3,0.0597041216701011
Car-free cities,Text dependent,443,Yes,3,0.05598239717639721
Car-free cities,Text dependent,202,No,2,0.2884273001875384
Car-free cities,Text dependent,336,No,1,0.7492613877367472
Car-free cities,Text dependent,170,No,2,0.06170404587749972
Car-free cities,Text dependent,260,Yes,2,0.4267123341872821
Car-free cities,Text dependent,472,No,4,0.0022010205131588203
Car-free cities,Text dependent,206,No,2,0.19908999196272206
Car-free cities,Text dependent,422,No,3,0.25425869611879515
Car-free cities,Text dependent,479,No,4,0.03929023782865454
Car-free cities,Text dependent,470,No,3,0.46680925477379126
Car-free cities,Text dependent,435,No,4,0.17853446579242077
Car-free cities,Text dependent,537,No,2,0.5029093320716166
Car-free cities,Text dependent,337,No,4,0.47108332182336593
Car-free cities,Text dependent,415,No,1,0.008640017365995296
Car-free cities,Text dependent,248,No,3,0.6529768255736099
Car-free cities,Text dependent,257,Yes,1,0.7738395975029908
Car-free cities,Text dependent,450,No,3,0.9254415727952269
Car-free cities,Text dependent,771,No,1,0.00010943955193274637
Car-free cities,Text dependent,364,No,3,0.01348550310123405
Car-free cities,Text dependent,321,No,3,0.09506610624930699
Car-free cities,Text dependent,382,Yes,3,0.22643294309347545
Car-free cities,Text dependent,824,No,5,0.22400726282610603
Car-free cities,Text dependent,348,No,2,0.16028709457516052
Car-free cities,Text dependent,410,No,2,0.6395002924503861
Car-free cities,Text dependent,578,No,4,0.1857346188679953
Car-free cities,Text dependent,590,No,4,0.08892868983064336
Car-free cities,Text dependent,859,No,4,0.5962529671178554
Car-free cities,Text dependent,239,No,2,0.09066970443973356
Car-free cities,Text dependent,477,No,5,0.12423385061320394
Car-free cities,Text dependent,424,No,3,0.003319543376370844
Car-free cities,Text dependent,209,No,2,0.13584860354490405
Car-free cities,Text dependent,334,No,1,0.012612564819655534
Car-free cities,Text dependent,525,No,4,0.6374338975115366
Car-free cities,Text dependent,510,No,1,0.13542127988367056
Car-free cities,Text dependent,244,No,2,0.025942401890157764
Car-free cities,Text dependent,388,No,3,0.00014047122726524179
Car-free cities,Text dependent,343,No,3,0.7046777478540411
Car-free cities,Text dependent,351,No,2,0.7255217949173023
Car-free cities,Text dependent,612,No,2,0.03359451787883698
Car-free cities,Text dependent,586,No,2,0.44581809240951187
Car-free cities,Text dependent,704,No,4,0.2824426408877963
Car-free cities,Text dependent,687,No,4,0.09836939467478087
Car-free cities,Text dependent,443,No,4,0.40621953162981517
Car-free cities,Text dependent,212,No,2,0.6207677354724214
Car-free cities,Text dependent,547,No,4,0.11006013102271103
Car-free cities,Text dependent,369,No,2,0.303904223013314
Car-free cities,Text dependent,337,No,3,0.0758261191124377
Car-free cities,Text dependent,352,No,2,0.02890382586211074
Car-free cities,Text dependent,590,No,4,0.016156489122147746
Car-free cities,Text dependent,410,No,3,0.22616595108825252
Car-free cities,Text dependent,481,No,4,0.8598836538549095
Car-free cities,Text dependent,415,No,3,0.2357241186949978
Car-free cities,Text dependent,290,No,1,0.4735586218478878
Car-free cities,Text dependent,259,No,2,0.05229363911566262
Car-free cities,Text dependent,271,No,3,0.09592827340491389
Car-free cities,Text dependent,362,No,3,0.2443392482103369
Car-free cities,Text dependent,949,No,4,0.006492710114148639
Car-free cities,Text dependent,478,No,2,0.18545880260141046
Car-free cities,Text dependent,445,No,3,0.3370989819620166
Car-free cities,Text dependent,965,No,6,0.009668486582581081
Car-free cities,Text dependent,176,No,1,0.06319758375303855
Car-free cities,Text dependent,387,No,3,0.6356891252489872
