source,prompt_name,task,word_count,p_ai_oof_score
chat_gpt_moth,Seeking multiple opinions,Independent,185,0.8213760019755442
mistral7binstruct_v1,Mandatory extracurricular activities,Independent,289,0.6015841912967332
mistral7binstruct_v2,Seeking multiple opinions,Independent,325,0.9999315196068688
mistral7binstruct_v2,Seeking multiple opinions,Independent,272,0.9844700084267315
falcon_180b_v1,Phones and driving,,197,0.9841390413738631
llama2_chat,Seeking multiple opinions,Independent,405,0.7510374715700671
llama2_chat,Seeking multiple opinions,Independent,376,0.9237723318365879
mistral7binstruct_v2,Seeking multiple opinions,Independent,291,0.4172198935901184
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,236,0.870644253531126
llama2_chat,Seeking multiple opinions,Independent,357,0.9153876861261266
chat_gpt_moth,Seeking multiple opinions,Independent,238,0.7315619079088229
darragh_claude_v7,Driverless cars,Text dependent,304,0.9991725466083847
darragh_claude_v6,Does the electoral college work?,Text dependent,333,0.7041523707353091
mistral7binstruct_v1,Distance learning,Independent,381,0.9732865896314212
mistral7binstruct_v2,Cell phones at school,Independent,367,0.6707514761935234
mistral7binstruct_v2,Seeking multiple opinions,Independent,351,0.9886118274019573
darragh_claude_v7,Car-free cities,Text dependent,397,0.9998711455570065
chat_gpt_moth,Seeking multiple opinions,Independent,231,0.7135140883055381
chat_gpt_moth,Mandatory extracurricular activities,Independent,155,0.9893155591510936
llama2_chat,Seeking multiple opinions,Independent,355,0.28306832757450406
llama2_chat,Seeking multiple opinions,Independent,269,0.9686212489687944
mistral7binstruct_v2,Seeking multiple opinions,Independent,221,0.7355560686637507
mistral7binstruct_v1,Seeking multiple opinions,Independent,347,0.9549416920764641
mistral7binstruct_v1,Distance learning,Independent,351,0.9845119834654936
llama2_chat,Distance learning,Independent,344,0.9501637995493024
mistral7binstruct_v1,Seeking multiple opinions,Independent,344,0.8992764859936964
llama2_chat,Distance learning,Independent,371,0.4551709208443423
falcon_180b_v1,Driverless cars,Text dependent,188,0.8087882665278632
mistral7binstruct_v2,Seeking multiple opinions,Independent,268,0.9768058687784607
mistral7binstruct_v1,Seeking multiple opinions,Independent,370,0.577260007343456
mistral7binstruct_v1,Distance learning,Independent,356,0.8454849856108775
mistral7binstruct_v2,Distance learning,Independent,266,0.94199225331596
llama2_chat,Distance learning,Independent,249,0.5607914945419541
llama_70b_v1,Exploring Venus,Text dependent,360,0.8739143410136171
falcon_180b_v1,Cell phones at school,Independent,259,0.46547876570583746
llama_70b_v1,Mandatory extracurricular activities,Independent,408,0.10576020148288551
chat_gpt_moth,Facial action coding system,Text dependent,395,0.7046698729854717
mistral7binstruct_v1,Mandatory extracurricular activities,Independent,386,0.9522397982727487
mistral7binstruct_v2,Seeking multiple opinions,Independent,301,0.9849510293530856
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,390,0.9787304751511251
llama_70b_v1,Grades for extracurricular activities,Independent,447,0.9655201654447815
falcon_180b_v1,Grades for extracurricular activities,Independent,258,0.7720016174539663
mistral7binstruct_v2,Distance learning,Independent,368,0.9840047567840083
radek_500,Car-free cities,Text dependent,458,0.9886944146271777
falcon_180b_v1,Mandatory extracurricular activities,Independent,232,0.5420379933754759
darragh_claude_v7,Mandatory extracurricular activities,Independent,270,0.8619521304018162
darragh_claude_v6,Driverless cars,Text dependent,320,0.9986055622465285
mistral7binstruct_v2,Seeking multiple opinions,Independent,440,0.016893456809345224
mistral7binstruct_v1,Facial action coding system,Text dependent,424,0.9195433601487926
llama2_chat,Distance learning,Independent,394,0.40769946705887095
llama2_chat,Distance learning,Independent,298,0.8865946623712954
llama2_chat,Mandatory extracurricular activities,Independent,271,0.5115384150593513
mistral7binstruct_v2,Distance learning,Independent,345,0.9506765086157035
mistral7binstruct_v1,Seeking multiple opinions,Independent,334,0.49291857805699485
mistral7binstruct_v2,Distance learning,Independent,296,0.25749496684245987
mistral7binstruct_v1,Seeking multiple opinions,Independent,374,0.9090799543711151
falcon_180b_v1,Distance learning,Independent,233,0.9960655999092607
falcon_180b_v1,The Face on Mars,Text dependent,350,0.7940719216985004
llama2_chat,Facial action coding system,Text dependent,388,0.11308422930401797
falcon_180b_v1,Grades for extracurricular activities,Independent,277,0.9457885577189938
llama2_chat,Seeking multiple opinions,Independent,360,0.9679797398195726
mistral7binstruct_v2,Seeking multiple opinions,Independent,419,0.8207313663519533
darragh_claude_v6,Grades for extracurricular activities,Independent,342,0.9842800954594831
mistral7binstruct_v1,Summer projects,Independent,394,0.5868605747400127
chat_gpt_moth,Summer projects,Independent,234,0.9498617044754072
llama_70b_v1,Phones and driving,,419,0.9721431229490662
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,259,0.9400663585312269
falcon_180b_v1,Seeking multiple opinions,Independent,249,0.9722884779033141
mistral7binstruct_v1,Seeking multiple opinions,Independent,305,0.9751345329037351
darragh_claude_v7,Car-free cities,Text dependent,367,0.9997762259816173
falcon_180b_v1,Cell phones at school,Independent,300,0.22969034094599933
mistral7binstruct_v2,Distance learning,Independent,417,0.8277852562741557
llama_70b_v1,Community service,Independent,334,0.9442572048800318
mistral7binstruct_v2,Distance learning,Independent,284,0.7742987547437482
chat_gpt_moth,Distance learning,Independent,166,0.7417637398001061
llama2_chat,Summer projects,Independent,380,0.4695122046062736
chat_gpt_moth,Cell phones at school,Independent,121,0.5457800220668261
chat_gpt_moth,Seeking multiple opinions,Independent,280,0.9346727212669615
darragh_claude_v7,Does the electoral college work?,Text dependent,378,0.9270994213333977
mistral7binstruct_v2,Distance learning,Independent,320,0.9837215541562058
chat_gpt_moth,Community service,Independent,129,0.985812643492218
llama2_chat,Mandatory extracurricular activities,Independent,290,0.4347495372800148
chat_gpt_moth,Mandatory extracurricular activities,Independent,137,0.8973321372017857
chat_gpt_moth,Summer projects,Independent,170,0.9947874722300658
llama2_chat,Mandatory extracurricular activities,Independent,384,0.9270839993001028
chat_gpt_moth,Mandatory extracurricular activities,Independent,102,0.9680286161158219
mistral7binstruct_v1,Distance learning,Independent,402,0.7035526304463756
mistral7binstruct_v2,Distance learning,Independent,410,0.8606106397928192
llama2_chat,Distance learning,Independent,316,0.9512794120787089
chat_gpt_moth,Distance learning,Independent,172,0.983849361872943
llama2_chat,Community service,Independent,349,0.49281314768209866
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,322,0.9280234425534812
darragh_claude_v6,Driverless cars,Text dependent,293,0.9832332766371373
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,323,0.31497675837383854
mistral7binstruct_v2,Distance learning,Independent,344,0.929152603880661
darragh_claude_v6,Community service,Independent,346,0.9861911971623859
mistral7binstruct_v1,Distance learning,Independent,370,0.8160950253313811
mistral7binstruct_v1,Seeking multiple opinions,Independent,366,0.903093637825318
mistral7binstruct_v1,Distance learning,Independent,298,0.976411271749228
chat_gpt_moth,Driverless cars,Text dependent,122,0.9924153938991392
falcon_180b_v1,Mandatory extracurricular activities,Independent,253,0.9979741058868232
llama_70b_v1,Distance learning,Independent,434,0.9573420019251048
chat_gpt_moth,Summer projects,Independent,203,0.8791156349238152
mistral7binstruct_v1,Distance learning,Independent,412,0.9307663969066701
chat_gpt_moth,Exploring Venus,Text dependent,87,0.9413300706221357
mistral7binstruct_v1,Distance learning,Independent,407,0.4833226837473257
mistral7binstruct_v1,Distance learning,Independent,422,0.33822838981478076
mistral7binstruct_v2,Distance learning,Independent,414,0.2044316901665174
mistral7binstruct_v2,Cell phones at school,Independent,243,0.8773343087680752
chat_gpt_moth,"""A Cowboy Who Rode the Waves""",Text dependent,306,0.8572149587325658
llama_70b_v1,Grades for extracurricular activities,Independent,378,0.3256275157803684
llama2_chat,Distance learning,Independent,368,0.8229840962732712
chat_gpt_moth,Seeking multiple opinions,Independent,132,0.9966032419914125
darragh_claude_v6,Facial action coding system,Text dependent,256,0.9986044597474486
mistral7binstruct_v1,Facial action coding system,Text dependent,321,0.9999480649140733
mistral7binstruct_v1,Seeking multiple opinions,Independent,393,0.8406285645017116
chat_gpt_moth,Seeking multiple opinions,Independent,95,0.9835140125735146
chat_gpt_moth,Seeking multiple opinions,Independent,192,0.9740283093356935
mistral7binstruct_v2,Community service,Independent,269,0.9413116131032198
chat_gpt_moth,Seeking multiple opinions,Independent,352,0.8701200423637513
llama_70b_v1,Mandatory extracurricular activities,Independent,298,0.9870167387201626
chat_gpt_moth,Mandatory extracurricular activities,Independent,274,0.9816062156941564
chat_gpt_moth,Facial action coding system,Text dependent,202,0.7270297163784845
llama2_chat,Distance learning,Independent,311,0.3917084825736663
mistral7binstruct_v1,Distance learning,Independent,368,0.9900910279544499
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,320,0.9733314022513838
chat_gpt_moth,Distance learning,Independent,127,0.9960766219883057
llama_70b_v1,Distance learning,Independent,286,0.9581111142633384
chat_gpt_moth,Seeking multiple opinions,Independent,168,0.9001333670312155
mistral7binstruct_v2,Seeking multiple opinions,Independent,199,0.9238906947046333
llama_70b_v1,Car-free cities,Text dependent,411,0.9944736514495951
darragh_claude_v6,Grades for extracurricular activities,Independent,331,0.9945267958756837
radek_500,Car-free cities,Text dependent,420,0.9938047775021912
chat_gpt_moth,Distance learning,Independent,258,0.9819512674303642
mistral7binstruct_v1,Distance learning,Independent,375,0.9677985364173007
chat_gpt_moth,Distance learning,Independent,218,0.8101648998066181
mistral7binstruct_v2,Seeking multiple opinions,Independent,331,0.7161111823437284
falcon_180b_v1,Mandatory extracurricular activities,Independent,240,0.7204006812535045
mistral7binstruct_v1,Mandatory extracurricular activities,Independent,352,0.9768491193825241
llama_70b_v1,Car-free cities,Text dependent,412,0.9409232214637493
llama2_chat,Grades for extracurricular activities,Independent,358,0.9914357060924897
llama_70b_v1,Facial action coding system,Text dependent,322,0.11700943399912996
chat_gpt_moth,Mandatory extracurricular activities,Independent,203,0.7699702252768311
mistral7binstruct_v2,Distance learning,Independent,310,0.5276044181522551
mistral7binstruct_v2,Distance learning,Independent,298,0.9925265143923231
llama2_chat,Mandatory extracurricular activities,Independent,348,0.7371473162409302
darragh_claude_v7,Mandatory extracurricular activities,Independent,239,0.7627364789868986
llama_70b_v1,Seeking multiple opinions,Independent,366,0.933740143887635
radek_500,Does the electoral college work?,Text dependent,594,0.7976544881251848
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,211,0.6236965327490972
darragh_claude_v7,Phones and driving,,338,0.9979633503933677
mistral7binstruct_v1,Seeking multiple opinions,Independent,411,0.869721244812174
darragh_claude_v6,Facial action coding system,Text dependent,269,0.9997923597484959
mistral7binstruct_v1,Distance learning,Independent,393,0.8714836666222147
llama2_chat,Seeking multiple opinions,Independent,337,0.8954547154990614
mistral7binstruct_v1,Distance learning,Independent,412,0.9969908950870034
mistral7binstruct_v1,Distance learning,Independent,372,0.7588999200467158
darragh_claude_v6,The Face on Mars,Text dependent,337,0.9955356016199426
chat_gpt_moth,Seeking multiple opinions,Independent,224,0.9566623926528125
mistral7binstruct_v1,Cell phones at school,Independent,391,0.5475978483663674
mistral7binstruct_v1,Mandatory extracurricular activities,Independent,302,0.9861304872881511
darragh_claude_v6,Mandatory extracurricular activities,Independent,329,0.971738456439751
mistral7binstruct_v2,Distance learning,Independent,279,0.9150005538643887
llama_70b_v1,Distance learning,Independent,330,0.7495135252005418
mistral7binstruct_v1,Facial action coding system,Text dependent,417,0.9999821575240727
radek_500,Car-free cities,Text dependent,461,0.9885690117873368
chat_gpt_moth,Seeking multiple opinions,Independent,175,0.5332407621777792
mistral7binstruct_v2,Community service,Independent,324,0.991015197728984
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,416,0.7326704084799671
mistral7binstruct_v2,Seeking multiple opinions,Independent,342,0.9725354076947597
chat_gpt_moth,Summer projects,Independent,196,0.9004653605862266
llama2_chat,Seeking multiple opinions,Independent,293,0.7184957775879314
chat_gpt_moth,Community service,Independent,217,0.7676932133696205
llama2_chat,Community service,Independent,347,0.8021552758739274
llama2_chat,Grades for extracurricular activities,Independent,365,0.9517488078167458
darragh_claude_v6,Distance learning,Independent,287,0.9873988414965219
falcon_180b_v1,Distance learning,Independent,315,0.9978492944164989
chat_gpt_moth,Seeking multiple opinions,Independent,173,0.6994779402756952
mistral7binstruct_v2,Distance learning,Independent,221,0.9933420461493021
mistral7binstruct_v2,Seeking multiple opinions,Independent,326,0.9159741760052742
llama_70b_v1,Grades for extracurricular activities,Independent,223,0.8625813781789846
mistral7binstruct_v1,Seeking multiple opinions,Independent,374,0.9935037489492674
chat_gpt_moth,Seeking multiple opinions,Independent,422,0.6022986078625048
llama2_chat,Mandatory extracurricular activities,Independent,289,0.6950354568158473
llama2_chat,Mandatory extracurricular activities,Independent,324,0.9234255575970379
llama_70b_v1,Distance learning,Independent,214,0.7636118277627687
darragh_claude_v7,Distance learning,Independent,285,0.6453389219839936
mistral7binstruct_v2,Seeking multiple opinions,Independent,270,0.12086653494725906
mistral7binstruct_v2,Distance learning,Independent,348,0.9993400383494088
mistral7binstruct_v2,Distance learning,Independent,279,0.9758646047273789
darragh_claude_v7,Car-free cities,Text dependent,351,0.9999769488556646
mistral7binstruct_v2,Community service,Independent,267,0.2113507471079687
llama2_chat,Distance learning,Independent,395,0.7153784731312188
mistral7binstruct_v1,Seeking multiple opinions,Independent,426,0.01597152556778612
mistral7binstruct_v1,Mandatory extracurricular activities,Independent,359,0.8979361717632579
mistral7binstruct_v2,Distance learning,Independent,293,0.511829484252962
darragh_claude_v7,Cell phones at school,Independent,339,0.9694096260053379
mistral7binstruct_v2,Distance learning,Independent,387,0.944257120095991
darragh_claude_v6,"""A Cowboy Who Rode the Waves""",Text dependent,221,0.9999969017663565
falcon_180b_v1,Seeking multiple opinions,Independent,251,0.9759375360779063
falcon_180b_v1,Distance learning,Independent,436,0.8013037757097043
mistral7binstruct_v2,Distance learning,Independent,394,0.9739976509294614
llama_70b_v1,Driverless cars,Text dependent,364,0.9605049077222949
llama2_chat,Seeking multiple opinions,Independent,355,0.7572552316366759
falcon_180b_v1,Cell phones at school,Independent,370,0.03176780171268704
chat_gpt_moth,Mandatory extracurricular activities,Independent,124,0.9121962649837252
llama2_chat,Seeking multiple opinions,Independent,331,0.19114755435525727
mistral7binstruct_v2,Distance learning,Independent,386,0.9509263368356959
mistral7binstruct_v2,Summer projects,Independent,284,0.5920195014130858
mistral7binstruct_v1,Seeking multiple opinions,Independent,355,0.9998310710665518
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,355,0.8088905931090121
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,191,0.982444833352387
darragh_claude_v6,Exploring Venus,Text dependent,320,0.999018246111768
darragh_claude_v7,Seeking multiple opinions,Independent,309,0.9837588433109091
mistral7binstruct_v1,Distance learning,Independent,367,0.850063283612283
chat_gpt_moth,Seeking multiple opinions,Independent,237,0.3315569742239738
chat_gpt_moth,Distance learning,Independent,270,0.9869040730353728
llama2_chat,Facial action coding system,Text dependent,347,0.6156649077753136
darragh_claude_v6,Community service,Independent,272,0.8782358357267502
falcon_180b_v1,Does the electoral college work?,Text dependent,352,0.35708261952624853
llama2_chat,Summer projects,Independent,339,0.8713427066186636
radek_500,Does the electoral college work?,Text dependent,653,0.3868847873056461
mistral7binstruct_v2,Seeking multiple opinions,Independent,243,0.829649516387268
chat_gpt_moth,Seeking multiple opinions,Independent,224,0.9742130645130609
llama2_chat,Distance learning,Independent,369,0.3694009320341594
llama_70b_v1,Summer projects,Independent,280,0.6916899141168172
llama2_chat,Mandatory extracurricular activities,Independent,284,0.976013800451293
mistral7binstruct_v2,Distance learning,Independent,412,0.9803209607825604
mistral7binstruct_v2,Distance learning,Independent,357,0.9720941865999083
mistral7binstruct_v2,Seeking multiple opinions,Independent,342,0.9898162125969707
darragh_claude_v6,Car-free cities,Text dependent,349,0.9998437752910678
mistral7binstruct_v1,Facial action coding system,Text dependent,409,0.9696641930610467
chat_gpt_moth,Facial action coding system,Text dependent,248,0.9994373650430274
mistral7binstruct_v1,Distance learning,Independent,316,0.9341885425104757
chat_gpt_moth,Mandatory extracurricular activities,Independent,208,0.9756308938643573
mistral7binstruct_v1,Mandatory extracurricular activities,Independent,230,0.9690443969623083
llama2_chat,Facial action coding system,Text dependent,379,0.7087260433184306
mistral7binstruct_v2,Seeking multiple opinions,Independent,398,0.9546648258561924
chat_gpt_moth,Seeking multiple opinions,Independent,144,0.8844978897200894
llama2_chat,Summer projects,Independent,303,0.5617278703514349
mistral7binstruct_v2,Facial action coding system,Text dependent,276,0.5494562487243199
mistral7binstruct_v2,Seeking multiple opinions,Independent,233,0.9825929816489645
mistral7binstruct_v2,Summer projects,Independent,375,0.9028873399410925
llama_70b_v1,Seeking multiple opinions,Independent,218,0.9523828353133579
llama2_chat,Mandatory extracurricular activities,Independent,406,0.9771215844573983
darragh_claude_v6,Exploring Venus,Text dependent,297,0.9955399800622073
mistral7binstruct_v1,Seeking multiple opinions,Independent,362,0.9835849984475026
darragh_claude_v7,Driverless cars,Text dependent,317,0.9999991153982015
mistral7binstruct_v2,Distance learning,Independent,282,0.9911581005750808
mistral7binstruct_v1,Distance learning,Independent,429,0.856507074240058
chat_gpt_moth,Seeking multiple opinions,Independent,109,0.1569859580126462
darragh_claude_v6,Cell phones at school,Independent,276,0.767458647515768
llama_70b_v1,Facial action coding system,Text dependent,251,0.9085731135046725
chat_gpt_moth,Seeking multiple opinions,Independent,123,0.06425599116127008
mistral7binstruct_v1,Facial action coding system,Text dependent,400,0.6624175720543879
chat_gpt_moth,Distance learning,Independent,145,0.9994348578683792
llama2_chat,Distance learning,Independent,397,0.6952474080429889
falcon_180b_v1,Grades for extracurricular activities,Independent,313,0.02064741043998611
mistral7binstruct_v1,Summer projects,Independent,419,0.9803228439639814
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,366,0.37293451799318805
radek_500,Does the electoral college work?,Text dependent,625,0.13616004788754837
mistral7binstruct_v2,Summer projects,Independent,314,0.8759768636959222
llama2_chat,Seeking multiple opinions,Independent,331,0.8654762729800474
mistral7binstruct_v2,Community service,Independent,434,0.01137032486487847
falcon_180b_v1,Seeking multiple opinions,Independent,229,0.5741331119887683
llama_70b_v1,"""A Cowboy Who Rode the Waves""",Text dependent,396,0.9064191344056408
radek_500,Car-free cities,Text dependent,475,0.9548077066692849
llama2_chat,"""A Cowboy Who Rode the Waves""",Text dependent,245,0.8445307336352611
darragh_claude_v7,Mandatory extracurricular activities,Independent,254,0.986757066130522
darragh_claude_v7,Summer projects,Independent,296,0.9762965626793358
chat_gpt_moth,Mandatory extracurricular activities,Independent,104,0.5770010474592087
darragh_claude_v7,Grades for extracurricular activities,Independent,361,0.29373398297623693
mistral7binstruct_v2,Distance learning,Independent,295,0.9285807453550275
darragh_claude_v7,Seeking multiple opinions,Independent,347,0.9996156357972057
llama_70b_v1,Summer projects,Independent,291,0.5529825633696754
mistral7binstruct_v2,Community service,Independent,315,0.4469031318430827
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,368,0.7809750928387117
mistral7binstruct_v2,Cell phones at school,Independent,232,0.897235559616948
mistral7binstruct_v2,Car-free cities,Text dependent,416,0.37498457915878103
darragh_claude_v7,Exploring Venus,Text dependent,299,0.9955937322815906
llama2_chat,Facial action coding system,Text dependent,318,0.9119674353004226
mistral7binstruct_v2,Seeking multiple opinions,Independent,360,0.9451419565076769
llama2_chat,Distance learning,Independent,388,0.9879908011049136
llama2_chat,Facial action coding system,Text dependent,270,0.8217483272048561
mistral7binstruct_v2,Distance learning,Independent,314,0.6617770617775499
chat_gpt_moth,Seeking multiple opinions,Independent,222,0.9278719631386486
chat_gpt_moth,Seeking multiple opinions,Independent,181,0.5816763467096849
llama2_chat,Facial action coding system,Text dependent,338,0.3915725967752163
darragh_claude_v6,"""A Cowboy Who Rode the Waves""",Text dependent,275,0.9997679510983657
darragh_claude_v7,Exploring Venus,Text dependent,272,0.9922837813281166
mistral7binstruct_v2,Seeking multiple opinions,Independent,405,0.669917874710011
chat_gpt_moth,Seeking multiple opinions,Independent,333,0.9317230498592368
chat_gpt_moth,Seeking multiple opinions,Independent,236,0.4510798139874594
chat_gpt_moth,Seeking multiple opinions,Independent,155,0.2897188298269024
darragh_claude_v6,"""A Cowboy Who Rode the Waves""",Text dependent,382,0.9716735111344228
llama_70b_v1,Facial action coding system,Text dependent,506,0.9178672758362021
mistral7binstruct_v2,Seeking multiple opinions,Independent,227,0.9375757047971178
llama_70b_v1,Car-free cities,Text dependent,415,0.8894675247736367
mistral7binstruct_v2,Distance learning,Independent,388,0.5374754287848594
chat_gpt_moth,Community service,Independent,168,0.6802436544827133
llama2_chat,Phones and driving,,277,0.92470757650148
falcon_180b_v1,Phones and driving,,221,0.9877693768095519
mistral7binstruct_v1,Distance learning,Independent,399,0.9487774525272157
llama2_chat,Seeking multiple opinions,Independent,409,0.5218142626279388
llama2_chat,Seeking multiple opinions,Independent,398,0.6789321495074201
mistral7binstruct_v1,Seeking multiple opinions,Independent,419,0.9468079851106854
darragh_claude_v6,Summer projects,Independent,299,0.9695794152328425
radek_500,Does the electoral college work?,Text dependent,587,0.21039620075867368
mistral7binstruct_v2,Seeking multiple opinions,Independent,256,0.8165519310136313
falcon_180b_v1,The Face on Mars,Text dependent,375,0.32553638447261696
llama2_chat,Seeking multiple opinions,Independent,372,0.986755424023866
darragh_claude_v6,Seeking multiple opinions,Independent,283,0.8189757577520047
falcon_180b_v1,Grades for extracurricular activities,Independent,407,0.6209285945470302
mistral7binstruct_v1,Seeking multiple opinions,Independent,415,0.983842246333943
mistral7binstruct_v2,Distance learning,Independent,355,0.9630059256040026
darragh_claude_v7,Distance learning,Independent,301,0.9866298927368223
mistral7binstruct_v1,Mandatory extracurricular activities,Independent,395,0.9874845405022287
llama_70b_v1,Phones and driving,,232,0.5948413247212427
llama2_chat,Distance learning,Independent,270,0.9823432673047995
chat_gpt_moth,Seeking multiple opinions,Independent,231,0.8222954512286784
darragh_claude_v6,Seeking multiple opinions,Independent,332,0.9934407182521141
llama_70b_v1,Distance learning,Independent,230,0.31121665193559395
llama2_chat,Summer projects,Independent,298,0.9572852305721287
chat_gpt_moth,Seeking multiple opinions,Independent,323,0.9817332742006517
chat_gpt_moth,Distance learning,Independent,249,0.6683144632995562
mistral7binstruct_v2,Distance learning,Independent,235,0.7845961346420527
darragh_claude_v7,Distance learning,Independent,259,0.9643830581710529
llama2_chat,Distance learning,Independent,393,0.6936688446822078
llama2_chat,Summer projects,Independent,375,0.6387012095346677
mistral7binstruct_v1,Distance learning,Independent,294,0.4925218162146112
falcon_180b_v1,Facial action coding system,Text dependent,214,0.7927291632879724
llama2_chat,Mandatory extracurricular activities,Independent,318,0.9881425678059472
mistral7binstruct_v2,Community service,Independent,426,0.5628156345125709
mistral7binstruct_v2,Seeking multiple opinions,Independent,284,0.850525823856334
radek_500,Does the electoral college work?,Text dependent,580,0.5866940063076918
radek_500,Car-free cities,Text dependent,408,0.9931688169445829
darragh_claude_v7,Phones and driving,,327,0.6171337441986992
darragh_claude_v7,Phones and driving,,325,0.996757156083973
mistral7binstruct_v1,Seeking multiple opinions,Independent,418,0.9178400240086398
falcon_180b_v1,Car-free cities,Text dependent,364,0.9586651509866517
chat_gpt_moth,Distance learning,Independent,138,0.9503243098845825
llama_70b_v1,Summer projects,Independent,333,0.6482049128077684
llama2_chat,Seeking multiple opinions,Independent,322,0.8055408983016021
mistral7binstruct_v1,Exploring Venus,Text dependent,349,0.19908252419141462
chat_gpt_moth,Seeking multiple opinions,Independent,181,0.3010527343459795
radek_500,Does the electoral college work?,Text dependent,578,0.4542577994995324
llama_70b_v1,Car-free cities,Text dependent,394,0.9670554934524225
llama_70b_v1,Distance learning,Independent,341,0.9730879756795793
mistral7binstruct_v2,Seeking multiple opinions,Independent,400,0.9672938886193151
llama2_chat,Seeking multiple opinions,Independent,367,0.9951346253378143
mistral7binstruct_v2,Seeking multiple opinions,Independent,422,0.05739545809947487
darragh_claude_v6,The Face on Mars,Text dependent,326,0.9976715499471377
llama2_chat,Facial action coding system,Text dependent,366,0.9616954750015235
darragh_claude_v6,Phones and driving,,409,0.828692193486353
mistral7binstruct_v1,Distance learning,Independent,392,0.4173583339649123
mistral7binstruct_v1,Distance learning,Independent,405,0.25456140586316756
mistral7binstruct_v1,Seeking multiple opinions,Independent,421,0.8273081363054007
chat_gpt_moth,Seeking multiple opinions,Independent,159,0.14443123729668425
llama_70b_v1,Exploring Venus,Text dependent,460,0.6342460733152087
llama2_chat,Seeking multiple opinions,Independent,337,0.8541791362101974
mistral7binstruct_v2,Grades for extracurricular activities,Independent,407,0.343024258059518
mistral7binstruct_v2,Mandatory extracurricular activities,Independent,380,0.9579035006126545
mistral7binstruct_v2,Distance learning,Independent,308,0.7629379061016618
darragh_claude_v6,Facial action coding system,Text dependent,302,0.9800680722603221
llama2_chat,Seeking multiple opinions,Independent,296,0.8910616681936326
